"ts","device","lpg"
"22.7","1.5945120943859746E9","false"
"19.700000762939453","1.5945120947355676E9","false"
"22.6","1.5945120980735729E9","false"
"27.0","1.594512099589146E9","true"
"22.6","1.594512101761235E9","false"
"27.0","1.5945121044684107E9","true"
"22.6","1.5945121054488637E9","false"
"19.700000762939453","1.594512106869076E9","false"
"27.0","1.5945121082753816E9","true"
"22.6","1.5945121091366868E9","false"
"22.6","1.594512112798518E9","false"
"27.0","1.5945121152885423E9","true"
"22.6","1.5945121164982603E9","false"
"27.0","1.5945121190980136E9","true"
"22.6","1.594512120184931E9","false"
"19.700000762939453","1.5945121227857318E9","false"
"22.6","1.5945121238726196E9","false"
"22.6","1.5945121275601885E9","false"
"27.0","1.594512129374153E9","true"
"22.6","1.5945121312478008E9","false"
"19.700000762939453","1.5945121314763765E9","false"
"27.0","1.594512133717256E9","true"
"22.6","1.594512134935363E9","false"
"19.700000762939453","1.5945121352890863E9","false"
"22.6","1.5945121386229827E9","false"
"19.799999237060547","1.5945121396414526E9","false"
"27.0","1.5945121396659806E9","true"
"22.6","1.5945121423105588E9","false"
"27.0","1.5945121450825844E9","true"
"22.6","1.5945121459981682E9","false"
"19.700000762939453","1.5945121488186827E9","false"
"22.6","1.5945121496858096E9","false"
"27.0","1.5945121521008546E9","true"
"19.799999237060547","1.5945121531727257E9","false"
"22.6","1.594512153373032E9","false"
"22.7","1.5945121570592368E9","false"
"27.0","1.5945121585780416E9","true"
"19.799999237060547","1.5945121591454568E9","false"
"22.7","1.5945121609924853E9","false"
"27.0","1.5945121629205687E9","true"
"22.6","1.594512164677839E9","false"
"19.700000762939453","1.5945121672564228E9","false"
"27.0","1.594512167261468E9","true"
"22.6","1.5945121683640199E9","false"
"22.6","1.5945121720501056E9","false"
"27.0","1.5945121732174854E9","true"
"19.799999237060547","1.5945121753714526E9","false"
"22.6","1.594512175736314E9","false"
"27.0","1.5945121786320183E9","true"
"22.6","1.5945121794223092E9","false"
"19.700000762939453","1.5945121807944636E9","false"
